Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
57494 2017 9 1 0 1008.6000 1011.5000 346.0000 0.8000 21.4000 94.0000 0.0000 
57494 2017 9 1 3 1008.6000 1011.5000 3.0000 2.4000 23.6000 85.0000 0.0000 
57494 2017 9 1 6 1007.0000 1009.9000 333.0000 1.8000 25.3000 76.0000 0.0000 
57494 2017 9 1 9 1006.2000 1009.1000 36.0000 1.6000 24.9000 78.0000 0.0000 
57494 2017 9 1 12 1007.1000 1010.0000 14.0000 1.5000 23.6000 88.0000 0.0000 
57494 2017 9 1 15 1007.1000 1010.0000 15.0000 1.5000 23.0000 93.0000 0.0000 
57494 2017 9 1 18 1005.4000 1008.2000 37.0000 1.2000 22.8000 95.0000 0.0000 
57494 2017 9 1 21 1005.3000 1008.2000 14.0000 1.0000 22.7000 96.0000 0.0000 
57494 2017 9 2 0 1006.2000 1009.1000 5.0000 1.6000 22.1000 100.0000 0.4000 
57494 2017 9 2 3 1006.7000 1009.6000 44.0000 1.0000 22.5000 100.0000 0.8000 
57494 2017 9 2 6 1004.9000 1007.8000 32.0000 2.6000 23.9000 94.0000 0.0000 
57494 2017 9 2 9 1004.8000 1007.7000 30.0000 2.6000 23.1000 99.0000 0.4000 
57494 2017 9 2 12 1006.1000 1009.0000 29.0000 2.9000 20.6000 100.0000 0.8000 
57494 2017 9 2 15 1006.8000 1009.7000 38.0000 2.6000 20.2000 99.0000 0.0000 
57494 2017 9 2 18 1006.3000 1009.2000 49.0000 1.2000 20.0000 100.0000 3.2000 
57494 2017 9 2 21 1006.0000 1008.9000 36.0000 1.9000 19.6000 100.0000 0.1000 
57494 2017 9 3 0 1007.3000 1010.2000 342.0000 1.5000 19.8000 100.0000 0.0000 
57494 2017 9 3 3 1008.2000 1011.1000 338.0000 1.2000 20.0000 100.0000 0.0000 
57494 2017 9 3 6 1006.9000 1009.8000 342.0000 2.0000 20.7000 99.0000 0.1000 
57494 2017 9 3 9 1006.9000 1009.8000 351.0000 1.4000 21.0000 99.0000 0.0000 
57494 2017 9 3 12 1008.1000 1011.0000 347.0000 1.5000 20.4000 100.0000 0.2000 
57494 2017 9 3 15 1008.4000 1011.3000 291.0000 1.0000 20.5000 100.0000 0.0000 
57494 2017 9 3 18 1007.8000 1010.7000 331.0000 0.9000 20.2000 100.0000 0.0000 
57494 2017 9 3 21 1007.7000 1010.6000 335.0000 1.1000 20.2000 99.0000 0.0000 
57494 2017 9 4 0 1008.3000 1011.2000 358.0000 0.8000 20.4000 99.0000 0.0000 
57494 2017 9 4 3 1009.1000 1012.0000 338.0000 1.8000 21.9000 91.0000 0.0000 
57494 2017 9 4 6 1007.2000 1010.1000 342.0000 1.6000 24.1000 82.0000 0.0000 
57494 2017 9 4 9 1006.5000 1009.4000 341.0000 1.2000 24.2000 84.0000 0.0000 
57494 2017 9 4 12 1007.4000 1010.3000 294.0000 0.4000 21.9000 98.0000 0.0000 
57494 2017 9 4 15 1008.3000 1011.2000 999017.0000 0.0000 21.0000 100.0000 0.0000 
